datetime,portfolio_value,cash,return
2024-03-11 09:30:00-04:00,100000.0,100000.0,
2024-03-12 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-14 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-15 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-16 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-18 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-19 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-20 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-21 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-22 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-23 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-25 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-26 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-27 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-28 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-29 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-01 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-02 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-03 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-04 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-05 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-06 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-08 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-09 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-10 09:30:00-04:00,100000.0,100000.0,0.0
